Date,Open,High,Low,Close,Adj Close,Volume
2022-01-20,207.100006,215.350006,205.399994,214.649994,208.847214,22627758
2022-01-21,213.899994,219.250000,213.000000,215.100006,209.285065,22132195
2022-01-24,216.399994,217.750000,211.500000,214.000000,208.214798,9637642
2022-01-25,213.500000,220.199997,211.949997,218.850006,212.933685,20541777
2022-01-27,218.000000,219.300003,212.350006,214.850006,209.041824,21384355
2022-01-28,217.500000,217.500000,209.250000,210.199997,204.517517,14199037
2022-01-31,212.000000,216.750000,211.199997,215.399994,209.576935,14930820
2022-02-01,217.000000,217.050003,211.300003,212.949997,207.193176,6466767
2022-02-02,214.850006,217.800003,213.250000,214.000000,208.214798,7440825
2022-02-03,214.000000,215.000000,211.000000,211.300003,205.587784,3445792
2022-02-04,212.000000,213.350006,209.100006,209.699997,204.031036,5496948
2022-02-07,211.050003,214.300003,210.000000,213.649994,207.874252,5901928
2022-02-08,214.000000,215.399994,208.500000,210.050003,204.371582,6805678
2022-02-09,210.600006,211.649994,208.699997,209.350006,203.690506,7375489
2022-02-10,210.050003,215.699997,210.050003,212.050003,206.317505,14385251
2022-02-11,210.199997,212.000000,207.050003,207.800003,202.182404,15053348
2022-02-14,206.949997,206.949997,201.250000,201.850006,196.393250,9082032
2022-02-15,202.000000,203.850006,199.000000,203.449997,197.949997,14284546
2022-02-16,198.600006,201.000000,195.699997,196.300003,196.300003,15202546
2022-02-17,198.250000,198.850006,196.000000,197.000000,197.000000,12304164
2022-02-18,196.800003,200.149994,195.250000,195.699997,195.699997,10950483
2022-02-21,195.699997,199.000000,195.550003,198.149994,198.149994,8011979
2022-02-22,194.199997,198.449997,191.800003,198.149994,198.149994,10204544
2022-02-23,198.350006,199.500000,197.600006,198.050003,198.050003,4870098
2022-02-24,194.000000,196.000000,189.899994,191.100006,191.100006,9858778
2022-02-25,192.550003,197.899994,192.149994,197.300003,197.300003,8190704
2022-02-28,197.449997,210.250000,196.050003,209.149994,209.149994,23953789
2022-03-02,207.750000,213.149994,206.199997,210.899994,210.899994,15376962
2022-03-03,210.699997,219.350006,210.699997,217.850006,217.850006,14854167
2022-03-04,215.949997,217.500000,210.949997,215.050003,215.050003,9595738
2022-03-07,210.500000,215.199997,208.850006,212.800003,212.800003,13226740
2022-03-08,214.000000,223.399994,209.800003,212.350006,212.350006,21307868
2022-03-09,215.149994,216.000000,206.600006,208.100006,208.100006,17123219
2022-03-10,211.000000,211.399994,207.050003,208.850006,208.850006,12387415
2022-03-11,209.300003,213.000000,207.750000,212.449997,212.449997,9744638
2022-03-14,212.449997,214.000000,209.600006,213.399994,213.399994,9448995
2022-03-15,213.199997,215.050003,208.300003,209.649994,209.649994,10896214
2022-03-16,211.250000,211.800003,208.949997,209.350006,209.350006,8950331
2022-03-17,212.000000,212.750000,207.750000,211.550003,211.550003,21348466
2022-03-21,216.000000,216.000000,204.500000,204.899994,204.899994,13348062
